iter	Passed	Remaining
0	8	2445
1	11	1640
2	14	1393
3	16	1252
4	19	1166
5	22	1106
6	25	1065
7	28	1040
8	31	1011
9	34	987
10	36	967
11	40	977
12	43	965
13	46	953
14	49	940
15	52	930
16	55	921
17	58	912
18	61	902
19	63	893
20	66	887
21	69	879
22	72	873
23	75	866
24	78	861
25	81	856
26	84	850
27	86	844
28	89	838
29	92	835
30	95	829
31	98	824
32	101	819
33	104	814
34	107	810
35	109	806
36	112	801
37	115	797
38	118	795
39	121	791
40	124	786
41	127	783
42	130	780
43	133	776
44	136	772
45	139	767
46	141	763
47	144	761
48	147	757
49	150	754
50	153	750
51	157	750
52	160	747
53	163	743
54	166	739
55	169	736
56	172	733
57	174	729
58	177	725
59	180	722
60	183	720
61	186	716
62	189	713
63	192	709
64	195	707
65	198	703
66	201	700
67	204	696
68	207	693
69	210	690
70	213	687
71	215	683
72	218	680
73	221	677
74	224	674
75	227	671
76	230	667
77	233	665
78	236	661
79	239	659
80	242	655
81	245	652
82	248	650
83	252	649
84	256	648
85	264	657
86	268	656
87	271	653
88	275	654
89	278	650
90	281	647
91	284	644
92	288	641
93	291	637
94	293	634
95	296	630
96	300	628
97	303	625
98	306	621
99	308	617
100	311	614
101	314	610
102	317	607
103	320	603
104	323	600
105	326	597
106	329	593
107	332	590
108	334	586
109	337	583
110	340	580
111	343	576
112	346	573
113	349	569
114	352	566
115	355	563
116	357	559
117	360	556
118	363	552
119	366	549
120	369	546
121	372	542
122	374	539
123	377	536
124	380	532
125	383	529
126	386	526
127	389	522
128	392	519
129	394	516
130	397	513
131	400	509
132	403	506
133	406	503
134	409	500
135	412	497
136	415	493
137	418	490
138	420	487
139	423	484
140	426	480
141	429	478
142	432	474
143	435	471
144	438	468
145	440	465
146	443	462
147	446	458
148	449	455
149	452	452
150	455	449
151	458	446
152	461	443
153	464	439
154	467	436
155	469	433
156	472	430
157	475	427
158	478	424
159	481	421
160	484	418
161	487	414
162	489	411
163	492	408
164	495	405
165	498	402
166	501	399
167	504	396
168	507	393
169	510	390
170	513	387
171	516	384
172	518	380
173	521	377
174	524	374
175	527	371
176	530	368
177	533	365
178	536	362
179	539	359
180	542	356
181	545	353
182	548	350
183	551	347
184	554	344
185	557	341
186	560	338
187	562	335
188	565	332
189	568	329
190	571	326
191	574	323
192	577	320
193	580	317
194	583	313
195	586	311
196	589	307
197	591	304
198	594	301
199	598	299
200	600	295
201	603	292
202	606	289
203	609	286
204	612	283
205	615	280
206	618	277
207	621	274
208	624	271
209	627	268
210	629	265
211	632	262
212	635	259
213	638	256
214	641	253
215	644	250
216	646	247
217	650	244
218	652	241
219	655	238
220	658	235
221	661	232
222	664	229
223	667	226
224	670	223
225	673	220
226	676	217
227	678	214
228	681	211
229	684	208
230	687	205
231	690	202
232	693	199
233	696	196
234	698	193
235	702	190
236	704	187
237	707	184
238	710	181
239	713	178
240	716	175
241	718	172
242	721	169
243	724	166
244	727	163
245	730	160
246	733	157
247	736	154
248	739	151
249	742	148
250	745	145
251	747	142
252	750	139
253	753	136
254	756	133
255	759	130
256	762	127
257	766	124
258	769	121
259	772	118
260	775	115
261	777	112
262	781	109
263	784	106
264	786	103
265	789	100
266	793	98
267	795	95
268	798	92
269	801	89
270	804	86
271	807	83
272	810	80
273	813	77
274	816	74
275	819	71
276	822	68
277	825	65
278	827	62
279	831	59
280	834	56
281	837	53
282	839	50
283	842	47
284	845	44
285	848	41
286	851	38
287	854	35
288	857	32
289	860	29
290	863	26
291	866	23
292	869	20
293	872	17
294	875	14
295	877	11
296	880	8
297	883	5
298	886	2
299	889	0
