brand,model,year,mileage,engine_capacity,transmission,body_type,fuel_type,color,doors,price_usd
Ford,Focus,2014,259178,2.2,Manual,Coupe,Hybrid,Black,4,35956.53
Audi,Q7,2007,278167,1.4,Automatic,Coupe,Diesel,Brown,5,27939.21
Volkswagen,Passat,2020,214176,3.0,Automatic,Coupe,Electric,White,2,36292.29
BMW,X5,2022,31551,2.4,CVT,Coupe,Hybrid,Green,2,66201.18
Kia,Sportage,2017,141699,2.4,Robot,Hatchback,Diesel,White,3,38768.98
Ford,Focus,2007,106530,4.0,Manual,Wagon,Diesel,Brown,5,35688.12
Honda,Accord,2005,240181,2.5,Robot,Coupe,Hybrid,Black,3,23465.0
Mercedes,E-Class,2015,11534,2.2,Automatic,Wagon,Petrol,Red,5,46782.16
Audi,Q7,2012,82798,1.6,Robot,Hatchback,Petrol,Grey,5,36089.92
Toyota,Corolla,2006,264712,2.2,Manual,Wagon,Electric,Brown,4,32328.83
BMW,3 Series,2007,13986,1.4,Manual,SUV,Petrol,Black,4,48781.07
Kia,Sorento,2011,297366,4.0,Robot,Coupe,Hybrid,Grey,5,39735.55
Volkswagen,Tiguan,2002,201664,1.4,Manual,SUV,Petrol,Blue,3,21022.28
Kia,Sportage,2014,218969,2.5,Robot,Coupe,Hybrid,Green,5,33602.9
Ford,Focus,2019,185340,1.5,Automatic,Coupe,Hybrid,Green,2,33724.49
Ford,Kuga,2018,43585,2.5,Manual,Sedan,Petrol,Red,5,47009.17
Mercedes,E-Class,2010,18047,2.5,CVT,Wagon,Petrol,Green,3,47398.06
Kia,Sorento,2012,55016,1.4,CVT,SUV,Petrol,Red,2,38214.5
Toyota,RAV4,2009,165838,2.7,Automatic,Sedan,Electric,White,3,38790.06
Toyota,Corolla,2016,256951,1.0,CVT,Sedan,Diesel,Black,5,25229.28
Volkswagen,Tiguan,2004,269536,1.0,CVT,Hatchback,Petrol,Grey,3,21394.22
Toyota,RAV4,2005,106081,1.8,Automatic,SUV,Hybrid,Brown,5,40259.46
Toyota,Corolla,2005,51663,3.5,CVT,Wagon,Electric,Silver,5,46167.45
BMW,X5,2006,214835,2.4,Manual,Hatchback,Electric,White,4,36610.95
Kia,Rio,2017,47254,5.0,Automatic,Hatchback,Hybrid,Green,5,46467.41
Toyota,Land Cruiser,2011,283076,1.6,Robot,SUV,Hybrid,White,2,35011.67
BMW,X3,2015,66690,1.5,Robot,Sedan,Electric,Grey,4,58066.99
Kia,Sportage,2017,178047,4.0,Automatic,Hatchback,Diesel,Silver,5,46855.51
Kia,Sorento,2000,38467,1.0,Automatic,Coupe,Electric,Grey,5,39594.21
Toyota,Land Cruiser,2000,256687,3.0,CVT,SUV,Diesel,Green,3,27593.87
Volkswagen,Passat,2012,205362,1.8,Robot,SUV,Hybrid,Black,2,47117.36
Toyota,Corolla,2015,45714,1.5,CVT,Sedan,Electric,White,5,49531.57
Audi,A6,2002,163707,2.4,Manual,Coupe,Petrol,Red,2,32065.55
Mercedes,GLC,2020,268246,1.0,Robot,SUV,Electric,Black,2,50253.15
Nissan,X-Trail,2021,36631,1.2,Robot,Hatchback,Hybrid,Silver,3,50911.3
Toyota,Corolla,2010,209141,2.0,Manual,Hatchback,Hybrid,Black,4,32738.43
Honda,Civic,2023,139788,3.0,Automatic,Sedan,Electric,Blue,5,59391.83
BMW,X3,2014,32097,1.2,Robot,SUV,Petrol,Black,4,54273.73
Volkswagen,Passat,2021,31024,1.5,Automatic,SUV,Electric,Blue,2,55781.07
Audi,Q5,2003,197484,1.5,Automatic,SUV,Hybrid,Brown,5,36197.95
Honda,Accord,2018,86672,2.2,CVT,SUV,Electric,Black,4,49116.36
Ford,Kuga,2008,100235,1.6,Manual,Hatchback,Diesel,White,4,29850.26
Honda,Accord,2021,20056,2.2,Manual,Coupe,Petrol,Brown,2,52297.21
Volkswagen,Golf,2022,216139,2.5,Robot,SUV,Petrol,Red,2,49052.19
Audi,Q5,2016,51293,4.0,Automatic,Wagon,Petrol,Grey,5,53848.13
Ford,Focus,2004,288790,2.5,Automatic,Coupe,Electric,Black,5,29197.05
Nissan,Teana,2018,271967,1.0,Robot,Coupe,Petrol,Grey,5,31515.09
Toyota,Land Cruiser,2019,149143,3.0,Automatic,SUV,Electric,White,2,48892.29
BMW,X3,2004,38304,2.2,Automatic,SUV,Electric,Blue,2,49096.97
BMW,5 Series,2002,27350,1.0,Automatic,Coupe,Diesel,Black,3,34099.78
Honda,CR-V,2008,282502,1.5,Automatic,Coupe,Diesel,Blue,4,26837.62
Audi,A4,2003,38756,2.4,Robot,SUV,Petrol,Silver,5,45704.19
Mercedes,E-Class,2016,196582,2.2,CVT,Coupe,Electric,White,4,52672.52
Kia,Cerato,2016,110448,4.0,Robot,Sedan,Diesel,Blue,4,48678.53
BMW,3 Series,2003,195004,2.4,CVT,Wagon,Petrol,Green,5,33919.97
